net,3_cycle_norm,4_cycle_norm,5_cycle_norm,6_cycle_norm,7_cycle_norm,8_cycle_norm,9_cycle_norm,10_cycle_norm,11_cycle_norm,12_cycle_norm
fns,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fob,0.0,0.4,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0
ftw,0.0,0.555555556,0.0,0.444444444,0.0,0.0,0.0,0.0,0.0,0.0
gan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gar,0.0,0.476190476,0.0,0.0,0.0,0.523809524,0.0,0.0,0.0,0.0
ghw,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gie,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.333333333
gis,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
gme,0.0,0.5,0.0,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0
gsi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hal,0.166666667,0.166666667,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0
hbo,0.166666667,0.166666667,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0
hcp,0.363636364,0.5,0.136363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hjm,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
hwx,0.0,0.111111111,0.0,0.722222222,0.0,0.166666667,0.0,0.0,0.0,0.0
iac,0.0,0.444444444,0.0,0.555555556,0.0,0.0,0.0,0.0,0.0,0.0
iac-e,0.333333333,0.19047619,0.285714286,0.19047619,0.0,0.0,0.0,0.0,0.0,0.0
ibd,0.0,0.238095238,0.0,0.619047619,0.0,0.142857143,0.0,0.0,0.0,0.0
ict,0.0,0.0,0.0,0.833333333,0.0,0.166666667,0.0,0.0,0.0,0.0
kfi,0.0,0.5,0.0,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0
lcs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lcs-a,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
lcs-e,0.545454545,0.0,0.0,0.454545455,0.0,0.0,0.0,0.0,0.0,0.0
lcs-f,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667
lcv-a,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
lcv-e,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
lcv-f,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
lcy,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lcy-a,0.166666667,0.333333333,0.0,0.166666667,0.0,0.0,0.0,0.0,0.333333333,0.0
lcy-a-x,0.4,0.2,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0
lcy-e,0.25,0.333333333,0.0,0.416666667,0.0,0.0,0.0,0.0,0.0,0.0
lig,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.333333333,0.0,0.0
llk,0.0,0.376811594,0.0,0.507246377,0.0,0.115942029,0.0,0.0,0.0,0.0
lta,0.0,0.5,0.0,0.333333333,0.0,0.166666667,0.0,0.0,0.0,0.0
lvt-a,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
mdf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mer,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
mok,0.0,0.0,0.0,0.833333333,0.0,0.166666667,0.0,0.0,0.0,0.0
mon,0.0,0.166666667,0.5,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0
myd,0.0,0.571428571,0.0,0.095238095,0.0,0.333333333,0.0,0.0,0.0,0.0
nbo-h,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
neb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nfa,0.0,0.0,0.0,0.833333333,0.0,0.166666667,0.0,0.0,0.0,0.0
nfb,0.0,0.5,0.0,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0
nfc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nom,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.166666667
ocu,0.0,0.744186047,0.0,0.255813953,0.0,0.0,0.0,0.0,0.0,0.0
pbg,0.0,0.0,0.0,0.333333333,0.0,0.666666667,0.0,0.0,0.0,0.0
pbp,0.0,0.0,0.0,0.333333333,0.0,0.666666667,0.0,0.0,0.0,0.0
pbz,0.0,0.0,0.0,0.333333333,0.0,0.666666667,0.0,0.0,0.0,0.0
pcb,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
pcl,0.0,0.333333333,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0
pcu-g,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.666666667,0.0,0.0
pcu-h,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.666666667,0.0,0.0
pcu-i,0.1,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
pem,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pth,0.0,0.333333333,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0
pto,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ptr,0.0,0.5,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.166666667
pts,0.0,0.333333333,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0
pyc,0.357142857,0.357142857,0.214285714,0.071428571,0.0,0.0,0.0,0.0,0.0,0.0
pyr,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pyr-e,0.357142857,0.142857143,0.0,0.357142857,0.0,0.142857143,0.0,0.0,0.0,0.0
qtz-e,0.4,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0
qtz-x,0.0,0.285714286,0.714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rho,0.0,0.5,0.0,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0
rhr,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0
rhr-a,0.0,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.333333333
rkf,0.428571429,0.0,0.0,0.0,0.428571429,0.142857143,0.0,0.0,0.0,0.0
rob,0.0,0.571428571,0.0,0.428571429,0.0,0.0,0.0,0.0,0.0,0.0
rtl,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
sin,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
sit,0.0,0.166666667,0.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0
skb,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
ske,0.0,0.833333333,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smc,0.166666667,0.333333333,0.416666667,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0
smd,0.0,0.785714286,0.0,0.214285714,0.0,0.0,0.0,0.0,0.0,0.0
sme,0.066666667,0.266666667,0.4,0.266666667,0.0,0.0,0.0,0.0,0.0,0.0
smg,0.214285714,0.285714286,0.0,0.142857143,0.357142857,0.0,0.0,0.0,0.0,0.0
smk,0.0,0.642857143,0.285714286,0.0,0.071428571,0.0,0.0,0.0,0.0,0.0
sml,0.0,0.733333333,0.0,0.133333333,0.0,0.133333333,0.0,0.0,0.0,0.0
smm,0.071428571,0.642857143,0.0,0.0,0.285714286,0.0,0.0,0.0,0.0,0.0
smn,0.0,0.615384615,0.230769231,0.153846154,0.0,0.0,0.0,0.0,0.0,0.0
smq,0.133333333,0.466666667,0.0,0.133333333,0.0,0.266666667,0.0,0.0,0.0,0.0
sms,0.266666667,0.266666667,0.0,0.2,0.266666667,0.0,0.0,0.0,0.0,0.0
smu,0.166666667,0.333333333,0.416666667,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0
smw,0.0,0.733333333,0.0,0.133333333,0.0,0.0,0.0,0.0,0.0,0.133333333
sne,0.3,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sni,0.0,0.733333333,0.0,0.0,0.0,0.266666667,0.0,0.0,0.0,0.0
snk,0.0,0.833333333,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snl,0.0,0.916666667,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snv-x,0.333333333,0.380952381,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snw,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
snx,0.066666667,0.533333333,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
snz,0.0,0.714285714,0.0,0.142857143,0.0,0.142857143,0.0,0.0,0.0,0.0
soc,0.0,0.476190476,0.0,0.095238095,0.0,0.428571429,0.0,0.0,0.0,0.0
sod-a,0.5,0.0,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0,0.333333333
sod-e,0.4,0.066666667,0.0,0.133333333,0.0,0.0,0.0,0.0,0.0,0.4
sod-f,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667
sod-g,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
sod-h,0.0,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.333333333
sog,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0
soh,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
soi,0.0,0.4,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0
sol,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
som,0.0,0.916666667,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
son,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sop,0.285714286,0.380952381,0.238095238,0.095238095,0.0,0.0,0.0,0.0,0.0,0.0
srs-a,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
srs-f,0.571428571,0.428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
srs-g,0.571428571,0.428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssa,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0
ssb,0.0,0.333333333,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0
sst,0.0,0.166666667,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
sth,0.1,0.2,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0
svb,0.285714286,0.380952381,0.285714286,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
svm,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svo,0.142857143,0.571428571,0.238095238,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
svx,0.333333333,0.333333333,0.285714286,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
svy,0.19047619,0.380952381,0.380952381,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
swa,0.285714286,0.428571429,0.238095238,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
swf,0.285714286,0.428571429,0.095238095,0.19047619,0.0,0.0,0.0,0.0,0.0,0.0
sxa,0.0,0.533333333,0.0,0.466666667,0.0,0.0,0.0,0.0,0.0,0.0
sxb,0.0,0.666666667,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sxe,0.333333333,0.0,0.416666667,0.083333333,0.166666667,0.0,0.0,0.0,0.0,0.0
sxf,0.285714286,0.142857143,0.357142857,0.071428571,0.142857143,0.0,0.0,0.0,0.0,0.0
sxg,0.153846154,0.307692308,0.384615385,0.153846154,0.0,0.0,0.0,0.0,0.0,0.0
sxh,0.071428571,0.285714286,0.5,0.142857143,0.0,0.0,0.0,0.0,0.0,0.0
sxi,0.333333333,0.166666667,0.0,0.333333333,0.166666667,0.0,0.0,0.0,0.0,0.0
sxt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tbo,0.0,0.0,0.0,0.555555556,0.0,0.222222222,0.0,0.0,0.0,0.222222222
tph,0.0,0.697674419,0.0,0.302325581,0.0,0.0,0.0,0.0,0.0,0.0
tsi,0.214285714,0.571428571,0.214285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twf-e,0.230769231,0.538461538,0.0,0.153846154,0.0,0.076923077,0.0,0.0,0.0,0.0
tzs,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
ubt,0.2,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
uka,0.0,0.166666667,0.0,0.666666667,0.0,0.0,0.0,0.166666667,0.0,0.0
ukb,0.0,0.166666667,0.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0
ukc,0.0,0.166666667,0.0,0.5,0.333333333,0.0,0.0,0.0,0.0,0.0
ukd,0.0,0.166666667,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
uke,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
ukf,0.0,0.166666667,0.5,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0
ukh,0.0,0.166666667,0.0,0.333333333,0.5,0.0,0.0,0.0,0.0,0.0
uki,0.0,0.166666667,0.0,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0
ukj,0.0,0.166666667,0.0,0.0,0.666666667,0.166666667,0.0,0.0,0.0,0.0
ukk,0.0,0.166666667,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
ukm,0.0,0.166666667,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
ukn,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.166666667
uko,0.0,0.333333333,0.0,0.166666667,0.0,0.5,0.0,0.0,0.0,0.0
ukp,0.166666667,0.0,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.166666667
ukr,0.166666667,0.333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
uks,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.333333333
ukt,0.0,0.166666667,0.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0
ukv,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.166666667,0.0,0.0
ukw,0.0,0.333333333,0.0,0.166666667,0.0,0.5,0.0,0.0,0.0,0.0
ukx,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
uky,0.166666667,0.0,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.166666667
ula,0.0,0.166666667,0.0,0.166666667,0.5,0.166666667,0.0,0.0,0.0,0.0
ulg,0.2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
ulh,0.166666667,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.166666667
uli,0.166666667,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.166666667,0.0,0.0
ulj,0.166666667,0.166666667,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.0,0.0
ull,0.0,0.166666667,0.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0
uma,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
umc,0.0,0.5,0.0,0.0,0.0,0.333333333,0.0,0.166666667,0.0,0.0
umd,0.0,0.5,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.166666667
ume,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
umh,0.0,0.5,0.0,0.0,0.0,0.166666667,0.0,0.333333333,0.0,0.0
umk,0.0,0.333333333,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0
uml,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
umm,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
umn,0.0,0.333333333,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0
umo,0.0,0.333333333,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0
umq,0.0,0.333333333,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0
umr,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.166666667,0.0,0.0
ums,0.0,0.333333333,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0
umu,0.0,0.333333333,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0
umv,0.0,0.333333333,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0
umy,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.166666667,0.0,0.0
umz,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.166666667
una,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
unb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
und,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
une,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
unf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ung,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333
unh,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333
unl,0.0,0.0,0.0,0.833333333,0.0,0.166666667,0.0,0.0,0.0,0.0
unn,0.0,0.0,0.833333333,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0
uno,0.333333333,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unp,0.166666667,0.333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
unr,0.166666667,0.333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
uns,0.0,0.0,0.0,0.833333333,0.0,0.0,0.0,0.166666667,0.0,0.0
unt,0.166666667,0.0,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
unu,0.166666667,0.0,0.0,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0
unv,0.166666667,0.0,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
unw,0.166666667,0.0,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
unx,0.166666667,0.0,0.0,0.666666667,0.0,0.0,0.166666667,0.0,0.0,0.0
uoa,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.166666667
uob,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.166666667
uod,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.166666667,0.0,0.0
uoe,0.0,0.333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.166666667
uof,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0
uoh,0.0,0.333333333,0.0,0.5,0.0,0.0,0.166666667,0.0,0.0,0.0
uoi,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
uol,0.0,0.333333333,0.0,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0
uoq,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
uos,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
uot,0.0,0.166666667,0.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0
uou,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
uow,0.0,0.166666667,0.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0
uox,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
uoy,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
uoz,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
upb,0.0,0.5,0.0,0.0,0.0,0.333333333,0.0,0.166666667,0.0,0.0
upc,0.0,0.166666667,0.0,0.5,0.333333333,0.0,0.0,0.0,0.0,0.0
upd,0.0,0.166666667,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
ure,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
usf,0.0,0.0,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.166666667
uta,0.0,0.0,0.0,0.333333333,0.0,0.0,0.666666667,0.0,0.0,0.0
utc,0.0,0.0,0.0,0.0,0.0,0.666666667,0.333333333,0.0,0.0,0.0
